beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
0.1,0.25,corrupt,0.1,50,0.52,1.76,1.0796824930109248,0.1847652189721256,0.012045039003177509,1.0,0.0,0.14,0.0,0.3815179896159794,0.6584820103840207,0.13848201038402064
0.25,0.25,corrupt,0.1,50,0.52,1.76,1.0796824930109248,0.21348579094165437,0.031159297631598207,1.0,0.0,0.14,0.0,0.3815179896159794,0.6584820103840207,0.13848201038402064
0.5,0.25,corrupt,0.1,50,0.52,1.76,1.0796824930109248,0.2625661694825025,0.06382351650599524,1.0,0.0,0.14,0.0,0.3815179896159794,0.6584820103840207,0.13848201038402064
1.0,0.25,corrupt,0.1,50,0.52,1.76,1.0796824930109248,0.3458594866538314,0.11925730132479999,1.0,0.0,0.14,0.0,0.3815179896159794,0.6584820103840207,0.13848201038402064
2.0,0.25,corrupt,0.1,50,0.52,1.76,1.0796824930109248,0.41604194660890204,0.16596548290917976,1.0,0.0,0.14,0.0,0.3815179896159794,0.6584820103840207,0.13848201038402064
5.0,0.25,corrupt,0.1,50,0.52,1.76,1.0796824930109248,0.4299641373118147,0.1752310488614178,1.0,0.0,0.14,0.0,0.3815179896159794,0.6584820103840207,0.13848201038402064
10.0,0.25,corrupt,0.1,50,0.52,1.76,1.0796824930109248,0.4299999983716887,0.17525491529325093,1.0,0.0,0.14,0.0,0.3815179896159794,0.6584820103840207,0.13848201038402064
0.1,0.25,corrupt,0.2,50,0.46,2.08,1.38269184372147,0.1806414981936666,0.015226409340949064,1.0,0.0,0.26,0.0,0.3218512801362242,0.5981487198637758,0.1381487198637758
0.25,0.25,corrupt,0.2,50,0.46,2.08,1.38269184372147,0.20281814237266985,0.03938918092253746,1.0,0.0,0.26,0.0,0.3218512801362242,0.5981487198637758,0.1381487198637758
0.5,0.25,corrupt,0.2,50,0.46,2.08,1.38269184372147,0.24071564985357788,0.08068076721401556,1.0,0.0,0.26,0.0,0.3218512801362242,0.5981487198637758,0.1381487198637758
