beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
0.1,0.25,corrupt,0.1,50,0.24,2.6,1.124858267715973,0.1696157130110738,0.11758512526883723,3.62,0.84,0.64,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.25,0.25,corrupt,0.1,50,0.24,2.6,1.124858267715973,0.16900551914708056,0.11740291591964239,3.62,0.84,0.64,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.5,0.25,corrupt,0.1,50,0.24,2.6,1.124858267715973,0.16790677511215113,0.11742243736918936,3.62,0.84,0.64,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
1.0,0.25,corrupt,0.1,50,0.24,2.6,1.124858267715973,0.16549266227162657,0.11834543837908218,3.62,0.84,0.64,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
2.0,0.25,corrupt,0.1,50,0.24,2.6,1.124858267715973,0.1607753081154481,0.1220489515459052,3.62,0.84,0.64,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
5.0,0.25,corrupt,0.1,50,0.24,2.6,1.124858267715973,0.1553962667469302,0.12873615900812252,3.62,0.84,0.64,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
10.0,0.25,corrupt,0.1,50,0.24,2.6,1.124858267715973,0.15500272362482861,0.12932564770362165,3.62,0.84,0.64,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.1,0.25,corrupt,0.2,50,0.24,2.58,1.1264899430695041,0.17475005216780942,0.11568423780650218,3.66,0.8,0.92,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.25,0.25,corrupt,0.2,50,0.24,2.58,1.1264899430695041,0.17437582197052304,0.11606175651608339,3.66,0.8,0.92,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.5,0.25,corrupt,0.2,50,0.24,2.58,1.1264899430695041,0.17375676274429316,0.1177840347744206,3.66,0.8,0.92,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
1.0,0.25,corrupt,0.2,50,0.24,2.58,1.1264899430695041,0.17255909924102908,0.12467501603945785,3.66,0.8,0.92,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
2.0,0.25,corrupt,0.2,50,0.24,2.58,1.1264899430695041,0.17054619959168268,0.14557913606216574,3.66,0.8,0.92,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
5.0,0.25,corrupt,0.2,50,0.24,2.58,1.1264899430695041,0.16848036191031482,0.17683367006781398,3.66,0.8,0.92,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
10.0,0.25,corrupt,0.2,50,0.24,2.58,1.1264899430695041,0.16833434209548226,0.17933800429694588,3.66,0.8,0.92,0.0,0.12161859605495463,0.35838140394504536,0.11838140394504537
0.1,0.25,corrupt,0.3,50,0.3,2.48,1.1647895491794003,0.1854998956643811,0.11124538309419293,3.18,1.28,1.34,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
0.25,0.25,corrupt,0.3,50,0.3,2.48,1.1647895491794003,0.18624835605895393,0.11263315223061987,3.18,1.28,1.34,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
0.5,0.25,corrupt,0.3,50,0.3,2.48,1.1647895491794003,0.18748647451141365,0.11683753203417313,3.18,1.28,1.34,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
1.0,0.25,corrupt,0.3,50,0.3,2.48,1.1647895491794003,0.18988180151794182,0.13205508580378908,3.18,1.28,1.34,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
2.0,0.25,corrupt,0.3,50,0.3,2.48,1.1647895491794003,0.19390760081663466,0.1764389619464302,3.18,1.28,1.34,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
5.0,0.25,corrupt,0.3,50,0.3,2.48,1.1647895491794003,0.19803927617937034,0.23849864972657536,3.18,1.28,1.34,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
10.0,0.25,corrupt,0.3,50,0.3,2.48,1.1647895491794003,0.19833131580903549,0.24329608158691673,3.18,1.28,1.34,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
0.1,0.25,missing,0.1,50,0.26,2.52,1.129204162592543,0.13,0.1261680123761121,3.2,1.26,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.25,0.25,missing,0.1,50,0.26,2.52,1.129204162592543,0.13,0.1261680123761121,3.2,1.26,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.5,0.25,missing,0.1,50,0.26,2.52,1.129204162592543,0.13,0.1261680123761121,3.2,1.26,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
1.0,0.25,missing,0.1,50,0.26,2.52,1.129204162592543,0.13,0.1261680123761121,3.2,1.26,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
2.0,0.25,missing,0.1,50,0.26,2.52,1.129204162592543,0.13,0.1261680123761121,3.2,1.26,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
5.0,0.25,missing,0.1,50,0.26,2.52,1.129204162592543,0.13,0.1261680123761121,3.2,1.26,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
10.0,0.25,missing,0.1,50,0.26,2.52,1.129204162592543,0.13,0.1261680123761121,3.2,1.26,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.1,0.25,missing,0.2,50,0.26,2.52,1.129204162592543,0.165,0.1196295301746016,2.84,1.62,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.25,0.25,missing,0.2,50,0.26,2.52,1.129204162592543,0.165,0.1196295301746016,2.84,1.62,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
